sample_HFS146-resub	sample_HFS147	sample_HFS148	sample_HFS149	sample_HFS150	sample_HFS191	sample_HFS192	sample_HFS193	sample_HFS194	sample_HFS258	sample_HFS259	sample_HFS260	sample_HFS261	sample_HFS262	sample_HFS298	sample_HFS299	sample_HFS300	sample_HFS301	sample_HFS302	sample_HFS338	sample_HFS339	sample_HFS340	sample_HFS341	sample_HFS342-resub
ABHD17B	14.9048	18.3287	26.4132	21.1634	23.5233	23.0328	22.5607	19.1334	20.3254	22.8037	13.6913	23.6621	22.73	15.9573	22.4307	16.3639	14.4354	27.3621	23.5481	23.3908	24.4514	16.3464	19.5301	22.6638
ABHD17C	7.0029	5.82002	7.24633	10.9812	9.20661	6.74176	6.97273	6.60979	4.61489	5.60049	7.07479	3.57798	7.80824	7.30506	8.62561	6.05508	8.26113	5.17192	10.9021	8.941	7.97328	6.74773	4.91928	8.30676
ABHD18	76.3621	67.8298	70.6031	67.6913	71.3849	51.4972	57.6223	53.4176	48.42	39.362	58.2197	80.9125	54.7609	66.1908	55.6232	54.6764	61.3695	60.6629	46.9864	53.7273	50.8574	62.0273	47.6589	55.7464
ABHD2	147.60564	150.03298	135.19455	151.3739	134.51165	152.67733	132.078112	141.10874	113.44	124.7662	163.8668	119.8918	134.17846	141.35446	122.45416	159.83348	131.7317	155.68892	136.46503	108.73393	133.85579	155.20479	145.52623	121.70628
ABHD3	91.5781	102.098	101.876	100.28	103.034	110.4	120.878	96.1519	117.306	166.805	80.9913	102.652	98.5393	77.9941	109.811	72.881	111.652	109.829	136.553	146.159	123.984	100.862	145.728	114.842
ABHD4	28.0925	25.4068	26.8817	24.4646	24.3781	24.5479	21.9473	30.045	18.0934	30.2261	19.1337	20.0234	20.4779	17.1482	20.007	16.0274	29.785	21.1561	25.2798	27.9014	21.3539	22.8659	26.3431	28.7063
ABHD5	5.78705	7.14098	12.0986	8.56416	11.1885	10.6207	7.30272	9.37093	8.12921	13.5606	7.05173	2.94405	14.8968	10.0827	7.90015	9.99088	8.64936	8.69349	10.279	8.77622	9.97029	7.66446	7.47007	11.2364
ABHD6	67.8353	74.2661	69.8602	68.8187	71.2487	76.607	58.3559	74.3957	77.9772	66.2603	68.5223	51.7391	65.2388	65.3914	53.0826	59.1344	44.1208	74.0335	64.0746	57.9882	75.9073	68.2415	71.3583	57.8209
ABHD8	296.189	223.032	227.932	257.615	254.189	213.321	249.157	248.434	241.553	192.232	259.918	284.266	203.03	244.604	249.065	244.987	293.005	242.128	208.231	234.515	234.472	283.307	268.474	232.099
ABI1	43.86789711	68.75156688306	88.627602	60.456649004021	71.63842	82.79167689	64.16427	55.5059058474	71.791763	64.29539	52.195219461087	32.620219	93.62320438	74.63335	83.047532	50.10053	50.89781	84.827973382	70.1757271	60.76274093511	77.9340500008731	48.039897	61.49058	68.17752819115
ABI2	38.9920557871887	48.527193377543	57.6950598783899	50.1902720803573	50.8995706022329	58.6064346884649	43.8444577752534	47.6572008702002	44.7121132946515	52.6058787744176	31.9643248286216	30.6098896616186	52.0379525778775	40.6468492371046	51.9895751162714	44.7128859924713	35.0216889666727	50.202490553505	52.7527838871796	38.560112133537	56.5962265046012	36.5219443628884	42.6349630706782	51.9260713729558
ABI3	3.204542	1.840211	2.410971	2.92359	2.23052	2.655522	3.38469	2.618515	2.426141	0.847898	3.81892	4.628899	3.49445	3.266023	3.361972	4.18835	2.129645	4.113805	3.30058	3.1499	3.620515	2.41332	2.97894	3.652687
ABI3BP	2.73377	3.43416	3.65466	3.97039	5.05171	3.31849	1.63558	3.90999	2.28267	4.77423	4.29907	2.21001	3.63319	1.5466	3.46297	3.55773	2.56497	3.69958	3.89404	3.52739	5.33058	2.18798	2.14659	4.50981
ABITRAM	15.8026	22.7839	25.502	18.1932	23.3288	21.56	19.922	15.8251	17.5579	22.5119	16.9255	11.0905	20.8367	19.5268	19.5946	20.3638	19.2773	22.8447	25.3543	28.5526	23.5582	21.4663	25.1542	28.0702
ABL1	32.6482	22.9058589554	25.599548	29.55872	26.15233	20.404577	26.36298	26.82642	22.20844	32.01225	28.63772	40.5453	22.13786	23.37038	27.45779	30.39042	33.28211	27.7042712	27.10511	31.00118	24.67805	28.81018	30.39103	27.31667
ABL2	70.05766120299	55.625760201165	50.74588	57.299340113313	55.0013800380391	61.48386195721	61.24422	69.60666122169	51.41568365604	70.88809	60.513170142682	81.60154856494	47.564930274259	58.3691200690861	53.26854	57.6987	65.28381	51.6498	54.42815206566	56.6327510143	59.34774294923	60.81132	52.14013	54.3524200871229
ABLIM1	26.635093	27.967508	37.964588	25.112837	34.875609	37.22762	43.15966	27.369246	51.7321	37.432387	44.769119	12.4855654	43.74541	34.15598	31.608742	23.745725	34.6592	42.92948	42.915173	36.172174	43.127389	28.913976	38.42582	35.55296
ABLIM2	116.4259	109.300800075539	90.7811000012888	94.75826	93.196519	120.754819	110.79863	126.2748	97.82398	106.161	123.2619	131.09958	102.1843	132.562866178	106.78280541212	158.78257	120.544550084131	108.51355	96.05736	94.40578	112.38824337	152.46279	104.10029	91.93253
ABLIM3	14.667814	15.176766	19.415324	17.28767	10.310941	11.966803	15.938378	10.380661	12.29881	6.843519	7.04036	4.9097159486	12.060188	13.438969	12.871476	8.971287	17.951445	15.520165	10.57038	15.285112	16.135545	15.288818	12.564731	9.64856
ABR	636.4844	628.34843	564.39106	613.79591	582.8387	607.69787	541.8211	574.3392	500.2108	418.74266	655.3542	411.983	555.3722	607.1831	570.2966	623.3883	561.445	493.95926	515.444	451.029	542.5726	565.9151	496.9965	484.8088
ABRA	1.86047	1.60815	3.98852	4.10888	4.02207	1.8726	4.52175	4.35932	4.03624	2.02415	1.5746	0.935423	1.18268	1.3699	4.49991	2.11047	3.45432	1.77883	1.27158	5.62615	4.04708	1.90676	1.85234	4.1385
ABRACL	43.46996	60.2749	62.08845	55.14302	49.83936	53.5942	64.10908	45.58095	95.8455	29.54282	20.89933	17.97206	47.1065	69.28005	47.07015	18.97506	39.45512	58.44775	31.15073	39.03568	39.06929	46.22841	70.1491	31.87381
ABRAXAS1	0.596827	0.757862	0.996233	0.691507	0.941698	0.603267	0.700054	0.483537	0.976968	0.769955	0.380107	0.830603	0.899864	0.762579	0.495583	0.894106	1.36776	1.03514	1.59159	1.39648	1.07869	0.914184	1.12663	0.880527
ABRAXAS2	31.1109	32.7327	35.3668	32.5972	30.7223	25.8718	34.3364	31.4088	29.4986	26.973	29.8196	21.8772	27.6302	31.3494	25.6445	27.978	28.3288	26.0446	27.0546	30.7919	28.7356	33.7149	28.9951	27.4252
ABT1	64.372	65.652	59.6028	62.5911	53.8383	54.1514	59.5033	68.799	55.5485	59.9636	52.5181	65.9209	57.2229	55.8696	58.9296	63.6185	66.6366	52.3015	51.0448	59.86	58.5812	70.8556	64.8107	66.6945
ABTB1	29.2753	30.1499	25.9511	26.0908	29.1571	25.8178	33.7254	27.9059	25.1976	30.7865	32.5884	48.0213	32.9495	43.3892	30.5575	27.4166	50.8626	35.9655	27.7128	43.5187	29.1914	35.0733	33.9741	35.9103
ABTB2	1.56391	1.28044	1.41841	1.11459	1.95763	1.94861	1.15999	1.57696	1.36494	3.20253	1.64999	1.51068	2.16576	1.3774	1.73925	1.06434	1.4885	1.50297	3.15965	3.23742	1.30525	3.06388	1.54412	2.9629
ABTB3	8.89095100046206	8.59342	9.9553150196035	8.51266	8.292443	6.847121	7.601278	7.203536	9.80217	4.737462	8.464862	5.64374000287179	8.41999000305542	8.798952	9.3066934011	8.261368	6.8195500908541	9.85061	6.262458	8.138423	9.818228	9.338524	8.430356	7.481369
ACAA1	71.9449	61.4565	62.3192	71.7493	65.9124	49.0481	66.6772	72.1147	62.325	64.9113	67.7116	85.3848	60.065	67.2734	73.2302	53.4373	83.2051	62.6637	61.0194	83.4278	61.5188	69.6629	65.4533	68.9391
